year,month,suburb,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice
2011.0,9.0,Randwick,1402000.0,30.0,5450000.0,690000.0,1750000.0,76.0,8000000.0,800000.0,32.0,18.0,880.0
2011.0,12.0,Randwick,1490000.0,44.0,6200000.0,890000.0,1625000.0,81.0,5850000.0,700000.0,33.0,16.0,895.0
2012.0,3.0,Randwick,1505000.0,32.0,2350000.0,565000.0,1590000.0,71.0,3800000.0,570000.0,25.0,14.0,1000.0
2012.0,6.0,Randwick,1550000.0,33.0,3325000.0,685000.0,1550000.0,76.0,4250000.0,660000.0,19.0,10.0,840.0
2012.0,9.0,Randwick,1373000.0,38.0,3050000.0,665000.0,1400000.0,74.0,3100000.0,650000.0,26.0,16.0,820.0
2012.0,12.0,Randwick,1316000.0,65.0,7100000.0,730000.0,1480000.0,90.0,4250000.0,790000.0,43.0,27.0,890.0
2013.0,3.0,Randwick,1508000.0,46.0,3100000.0,614000.0,1500000.0,66.0,5000000.0,550000.0,26.0,19.0,950.0
2013.0,6.0,Randwick,1490000.0,44.0,3570000.0,800000.0,1600000.0,63.0,3100000.0,860000.0,25.0,17.0,850.0
2013.0,9.0,Randwick,1555000.0,43.0,4225000.0,530000.0,1516000.0,61.0,4000000.0,356000.0,25.0,19.0,950.0
2013.0,12.0,Randwick,1580000.0,52.0,2850000.0,905000.0,1600000.0,69.0,3500000.0,356000.0,39.0,32.0,915.0
2014.0,3.0,Randwick,1628000.0,55.0,12500000.0,800000.0,1550000.0,77.0,4239000.0,720000.0,41.0,30.0,1095.0
2014.0,6.0,Randwick,1574000.0,62.0,7900000.0,523000.0,1498000.0,79.0,4239000.0,500000.0,47.0,34.0,1075.0
2014.0,9.0,Randwick,1783000.0,42.0,3850000.0,607000.0,1700000.0,61.0,3750000.0,680000.0,35.0,27.0,1025.0
2014.0,12.0,Randwick,1715000.0,49.0,4200000.0,1085000.0,1690000.0,69.0,4140000.0,680000.0,44.0,33.0,950.0
2015.0,3.0,Randwick,2000000.0,34.0,4700000.0,1285000.0,2000000.0,42.0,3500000.0,1500000.0,30.0,24.0,1000.0
2015.0,6.0,Randwick,2300000.0,41.0,4800000.0,1321000.0,2125000.0,42.0,3250000.0,1375000.0,33.0,28.0,1100.0
2015.0,9.0,Randwick,1920000.0,43.0,6110000.0,1300000.0,2150000.0,44.0,4600000.0,1200000.0,34.0,29.0,1125.0
2015.0,12.0,Randwick,2130000.0,43.0,4850000.0,1300000.0,2120000.0,47.0,6000000.0,1400000.0,32.0,19.0,1000.0
2016.0,3.0,Randwick,1920000.0,30.0,3928000.0,1340000.0,1925000.0,38.0,6000000.0,1150000.0,22.0,20.0,1100.0
2016.0,6.0,Randwick,2195000.0,37.0,4930000.0,1365000.0,1295000.0,53.0,3250000.0,65000.0,28.0,26.0,1200.0
