year,month,suburb,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice
2011.0,9.0,Dum Dum,,,,,,,,,,,
2011.0,12.0,Dum Dum,,,,,,,,,,,
2012.0,3.0,Dum Dum,,,,,,,,,,,
2012.0,6.0,Dum Dum,,,,,,,,,,,
2012.0,9.0,Dum Dum,,,,,,,,,,,
2012.0,12.0,Dum Dum,,,,,,,,,,,
2013.0,3.0,Dum Dum,,,,,,,,,,,
2013.0,6.0,Dum Dum,,,,,,,,,,,
2013.0,9.0,Dum Dum,,,,,,,,,,,
2013.0,12.0,Dum Dum,,,,,,,,,,,
2014.0,3.0,Dum Dum,,,,,,,,,,,
2014.0,6.0,Dum Dum,,,,,,,,,,,
2014.0,9.0,Dum Dum,,,,,,,,,,,
2014.0,12.0,Dum Dum,,,,,,,,,,,
2015.0,3.0,Dum Dum,,,,,,,,,,,
2015.0,6.0,Dum Dum,,,,,,,,,,,
2015.0,9.0,Dum Dum,,,,,,,,,,,
2015.0,12.0,Dum Dum,,,,,,,,,,,
2016.0,3.0,Dum Dum,,,,,,,,,,,
2016.0,6.0,Dum Dum,,,,,,,,,,,
2016.0,9.0,Dum Dum,,,,,,,,,,,
2016.0,12.0,Dum Dum,,,,,,,,,,,
2017.0,3.0,Dum Dum,,,,,,,,,,,
2017.0,6.0,Dum Dum,,,,,,,,,,,
2017.0,9.0,Dum Dum,,,,,,,,,,,
2017.0,12.0,Dum Dum,,,,,,,,,,,
2018.0,3.0,Dum Dum,,,,,,,,,,,
2018.0,6.0,Dum Dum,,,,,,,,,,,
2018.0,9.0,Dum Dum,,,,,,,,,,,
2018.0,12.0,Dum Dum,,,,,,,,,,,
2019.0,3.0,Dum Dum,,,,,,,,,,,
2019.0,6.0,Dum Dum,,,,,,,,,,,
2019.0,9.0,Dum Dum,,,,,,,,,,,
2019.0,12.0,Dum Dum,,,,,,,,,,,
2020.0,3.0,Dum Dum,,,,,,,,,,,
2020.0,6.0,Dum Dum,,,,,,,,,,,
2020.0,9.0,Dum Dum,,,,,,,,,,,
2020.0,12.0,Dum Dum,,,,,,,,,,,
2021.0,3.0,Dum Dum,,,,,,,,,,,
2021.0,6.0,Dum Dum,,,,,,,,,,,
2011.0,9.0,Hay South,,,,,,2.0,,,,,
2011.0,12.0,Hay South,,1.0,220000.0,220000.0,,1.0,225000.0,225000.0,,,
2012.0,3.0,Hay South,,1.0,250000.0,250000.0,,2.0,350000.0,289000.0,,,
2012.0,6.0,Hay South,,,,,,1.0,350000.0,350000.0,,,
2012.0,9.0,Hay South,,,,,,2.0,350000.0,165000.0,,,
2012.0,12.0,Hay South,,,,,,1.0,165000.0,165000.0,,,
2013.0,3.0,Hay South,,,,,,,,,,,
2013.0,6.0,Hay South,,,,,,2.0,390000.0,310000.0,,,
2013.0,9.0,Hay South,,,,,,2.0,350000.0,310000.0,,,
2013.0,12.0,Hay South,,,,,,2.0,350000.0,235000.0,,,
2014.0,3.0,Hay South,,,,,,2.0,350000.0,280000.0,,,
2014.0,6.0,Hay South,,,,,,2.0,350000.0,235000.0,,,
2014.0,9.0,Hay South,,1.0,340000.0,340000.0,,2.0,390000.0,280000.0,,,
2014.0,12.0,Hay South,,1.0,230000.0,230000.0,,2.0,390000.0,280000.0,,,
2015.0,3.0,Hay South,,,,,,1.0,390000.0,390000.0,,,
2015.0,6.0,Hay South,,,,,,2.0,390000.0,350000.0,,,
2015.0,9.0,Hay South,,,,,,2.0,390000.0,298000.0,,,
2015.0,12.0,Hay South,,,,,,1.0,298000.0,298000.0,,,
2016.0,3.0,Hay South,,,,,,1.0,298000.0,298000.0,,,
2016.0,6.0,Hay South,,,,,,1.0,298000.0,298000.0,,,
2016.0,9.0,Hay South,,,,,,1.0,298000.0,298000.0,,,
2016.0,12.0,Hay South,,,,,,1.0,298000.0,298000.0,,,
2017.0,3.0,Hay South,,,,,,2.0,298000.0,145000.0,,,
2017.0,6.0,Hay South,,,,,,3.0,365000.0,145000.0,,,
2017.0,9.0,Hay South,,,,,,3.0,365000.0,145000.0,,,
2017.0,12.0,Hay South,,,,,,2.0,298000.0,145000.0,,,
2018.0,3.0,Hay South,,,,,,2.0,298000.0,145000.0,,,
2018.0,6.0,Hay South,,,,,,1.0,298000.0,298000.0,,,
2018.0,9.0,Hay South,,,,,,1.0,298000.0,298000.0,,,
2018.0,12.0,Hay South,,,,,,1.0,298000.0,298000.0,,,
2019.0,3.0,Hay South,,,,,,1.0,298000.0,298000.0,,,
2019.0,6.0,Hay South,,,,,,1.0,298000.0,298000.0,,,
2019.0,9.0,Hay South,,,,,,1.0,298000.0,298000.0,,,
2019.0,12.0,Hay South,,,,,,3.0,369000.0,298000.0,,,
2020.0,3.0,Hay South,,,,,,2.0,340000.0,298000.0,,,
2020.0,6.0,Hay South,,,,,,2.0,340000.0,298000.0,,,
2020.0,9.0,Hay South,,,,,,2.0,298000.0,120000.0,,,
2020.0,12.0,Hay South,,,,,,2.0,298000.0,120000.0,,,
2021.0,3.0,Hay South,,,,,,2.0,298000.0,120000.0,,,
2021.0,6.0,Hay South,,,,,,1.0,298000.0,298000.0,,,
2011.0,9.0,Glanmire,,,,,,1.0,1400000.0,1400000.0,,,
2011.0,12.0,Glanmire,,,,,,2.0,1400000.0,1200000.0,,,
2012.0,3.0,Glanmire,,,,,,3.0,1400000.0,795000.0,,,
2012.0,6.0,Glanmire,,,,,,2.0,1200000.0,795000.0,,,
2012.0,9.0,Glanmire,,,,,,1.0,795000.0,795000.0,,,
2012.0,12.0,Glanmire,,,,,,1.0,1200000.0,1200000.0,,,
2013.0,3.0,Glanmire,,,,,,,,,,,
2013.0,6.0,Glanmire,,,,,,,,,,,
2013.0,9.0,Glanmire,,,,,,,,,,,
