year,month,suburb,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice
2011.0,9.0,Rock Flat,,,,,,1.0,335000.0,335000.0,,,
2011.0,12.0,Rock Flat,,,,,,,,,,,
2012.0,3.0,Rock Flat,,,,,,,,,,,
2012.0,6.0,Rock Flat,,,,,,,,,,,
2012.0,9.0,Rock Flat,,,,,,,,,,,
2012.0,12.0,Rock Flat,,,,,,,,,,,
2013.0,3.0,Rock Flat,,,,,,,,,,,
2013.0,6.0,Rock Flat,,,,,,,,,,,
2013.0,9.0,Rock Flat,,,,,,,,,,,
2013.0,12.0,Rock Flat,,,,,,,,,,,
2014.0,3.0,Rock Flat,,,,,,,,,,,
2014.0,6.0,Rock Flat,,,,,,,,,,,
2014.0,9.0,Rock Flat,,,,,,,,,,,
2014.0,12.0,Rock Flat,,,,,,,,,,,
2015.0,3.0,Rock Flat,,,,,,,,,,,
2015.0,6.0,Rock Flat,,,,,,,,,,,
2015.0,9.0,Rock Flat,,,,,,,,,,,
2015.0,12.0,Rock Flat,,,,,,,,,,,
2016.0,3.0,Rock Flat,,,,,,,,,,,
2016.0,6.0,Rock Flat,,,,,,,,,,,
2016.0,9.0,Rock Flat,,,,,,,,,,,
2016.0,12.0,Rock Flat,,,,,,,,,,,
2017.0,3.0,Rock Flat,,,,,,,,,,,
2017.0,6.0,Rock Flat,,,,,,,,,,,
2017.0,9.0,Rock Flat,,,,,,,,,,,
2017.0,12.0,Rock Flat,,,,,,,,,,,
2018.0,3.0,Rock Flat,,,,,,,,,,,
2018.0,6.0,Rock Flat,,,,,,,,,,,
2018.0,9.0,Rock Flat,,,,,,,,,,,
2018.0,12.0,Rock Flat,,,,,,,,,,,
2019.0,3.0,Rock Flat,,,,,,,,,,,
2019.0,6.0,Rock Flat,,,,,,,,,,,
2019.0,9.0,Rock Flat,,,,,,,,,,,
2019.0,12.0,Rock Flat,,,,,,,,,,,
2020.0,3.0,Rock Flat,,,,,,,,,,,
2020.0,6.0,Rock Flat,,,,,,,,,,,
2020.0,9.0,Rock Flat,,,,,,,,,,,
2020.0,12.0,Rock Flat,,,,,,,,,,,
2021.0,3.0,Rock Flat,,,,,,,,,,,
2021.0,6.0,Rock Flat,,,,,,,,,,,
2011.0,9.0,Forster,345000.0,57.0,880000.0,197000.0,398000.0,458.0,2750000.0,1000.0,5.0,1.0,300.0
2011.0,12.0,Forster,338000.0,90.0,1235000.0,135000.0,423000.0,470.0,1900000.0,125000.0,1.0,,320.0
2012.0,3.0,Forster,348000.0,58.0,1075000.0,150000.0,429000.0,496.0,2750000.0,89000.0,5.0,,315.0
2012.0,6.0,Forster,335000.0,66.0,1450000.0,108000.0,429000.0,468.0,1900000.0,77000.0,1.0,,330.0
2012.0,9.0,Forster,331000.0,67.0,1000000.0,185000.0,410000.0,435.0,2750000.0,77000.0,6.0,2.0,320.0
2012.0,12.0,Forster,337000.0,73.0,665000.0,117000.0,415000.0,411.0,1595000.0,96000.0,4.0,,330.0
2013.0,3.0,Forster,345000.0,100.0,724000.0,125000.0,419000.0,408.0,1495000.0,88000.0,3.0,1.0,335.0
2013.0,6.0,Forster,340000.0,76.0,900000.0,152000.0,429000.0,382.0,1495000.0,70000.0,1.0,,350.0
2013.0,9.0,Forster,355000.0,92.0,785000.0,65000.0,420000.0,375.0,1900000.0,70000.0,3.0,,345.0
2013.0,12.0,Forster,360000.0,107.0,860000.0,138000.0,429000.0,376.0,1900000.0,70000.0,1.0,,340.0
2014.0,3.0,Forster,373000.0,86.0,840000.0,108000.0,430000.0,350.0,4813000.0,70000.0,1.0,,360.0
2014.0,6.0,Forster,349000.0,85.0,1100000.0,69000.0,469000.0,344.0,4813000.0,69000.0,2.0,1.0,360.0
2014.0,9.0,Forster,347000.0,82.0,970000.0,55000.0,469000.0,343.0,4813000.0,60000.0,2.0,1.0,350.0
2014.0,12.0,Forster,350000.0,89.0,1100000.0,153000.0,475000.0,385.0,4813000.0,50000.0,,,360.0
2015.0,3.0,Forster,395000.0,109.0,1200000.0,125000.0,475000.0,372.0,1838000.0,40000.0,5.0,,363.0
2015.0,6.0,Forster,410000.0,119.0,1125000.0,160000.0,479000.0,337.0,8000000.0,40000.0,,,360.0
