year,month,suburb,medianSoldPrice,numberSold,highestSoldPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice
2011,8,Randwick,1422000,40,5450000,81,8000000,775000,32,20,950
2011,11,Randwick,1417000,49,3660000,97,6000000,700000,47,23,880
2012,2,Randwick,1520000,24,6200000,62,5850000,570000,10,5,975
2012,5,Randwick,1555000,44,3325000,77,3590000,570000,30,17,850
2012,8,Randwick,1385000,27,3050000,57,4250000,650000,19,11,825
2012,11,Randwick,1384000,69,3250000,96,4250000,790000,50,33,863
2013,2,Randwick,1525000,34,7100000,56,5000000,550000,15,9,950
2013,5,Randwick,1515000,62,3570000,79,4000000,590000,39,26,850
2013,8,Randwick,1575000,35,15000000,61,4000000,356000,19,14,915
2013,11,Randwick,1570000,60,2915000,81,3500000,356000,45,37,995
2014,2,Randwick,1590000,39,12500000,61,3500000,720000,18,14,1100
2014,5,Randwick,1584000,75,4292000,91,4239000,500000,61,44,1075
2014,8,Randwick,1738000,49,7900000,60,3750000,680000,35,27,1075
2014,11,Randwick,1715000,55,4200000,77,4140000,680000,48,37,980
2015,2,Randwick,1820000,24,3700000,41,3700000,680000,22,18,1025
2015,5,Randwick,2240000,50,4800000,50,3250000,1375000,44,34,1050
2015,8,Randwick,1950000,41,5150000,34,4000000,1300000,27,24,1100
2015,11,Randwick,2038000,45,6110000,55,6000000,1200000,38,27,1000
2016,2,Randwick,2420000,29,3928000,38,6000000,1250000,22,18,1000
2016,5,Randwick,2105000,38,4930000,50,3250000,609000,30,26,1160
2016,8,Randwick,2240000,38,4900000,42,2993000,65000,27,26,990
2016,11,Randwick,2300000,50,4825000,55,4600000,925000,44,39,1050
2017,2,Randwick,2270000,24,4375000,29,2600000,1450000,18,16,1193
2017,5,Randwick,2473000,43,4460000,48,4250000,1550000,39,32,1100
2017,8,Randwick,2570000,44,6400000,42,5000000,1650000,32,29,1100
2017,11,Randwick,2560000,58,6205000,68,5000000,1300000,57,39,1150
2018,2,Randwick,2260000,42,4075000,40,5000000,1500000,19,16,1000
2018,5,Randwick,2453000,69,6200000,63,12000000,1500000,50,39,1200
2018,8,Randwick,2350000,36,6000000,27,10000000,1120000,19,9,1000
2018,11,Randwick,2255000,41,4100000,53,10000000,2000,40,26,1083
2019,2,Randwick,2325000,14,4120000,29,10000000,1470000,15,6,1200
2019,5,Randwick,2265000,28,4550000,40,9000000,1250000,26,11,1195
2019,8,Randwick,2153000,33,5400000,38,9000000,1425000,19,13,1100
2019,11,Randwick,2598000,47,8120000,62,9000000,1425000,41,36,1100
2020,2,Randwick,2801000,26,4975000,31,9000000,1425000,13,11,1150
2020,5,Randwick,2463000,37,5610000,61,9000000,800000,30,16,1100
2020,8,Randwick,2525000,37,6775000,52,9000000,2000000,27,21,1050
2020,11,Randwick,2550000,52,7000000,63,9000000,1470000,43,34,950
2021,2,Randwick,2818000,40,7300000,36,6000000,1500000,25,21,1000
2021,5,Randwick,3145000,55,8500000,58,6000000,2000000,47,41,1035
2011,8,Paddington,1500000,54,2950000,92,3500000,540000,46,24,995
2011,11,Paddington,1350000,72,6350000,127,11000000,498000,75,36,990
2012,2,Paddington,1300000,36,2500000,93,11000000,795000,26,11,1000
2012,5,Paddington,1450000,67,5500000,111,50000000,795000,69,41,1000
2012,8,Paddington,1225000,67,3300000,110,11000000,690000,51,30,950
2012,11,Paddington,1461000,65,5100000,106,11000000,525000,52,33,950
2013,2,Paddington,1400000,44,3425000,71,8800000,765000,26,17,975
2013,5,Paddington,1468000,75,3650000,111,8800000,700000,62,38,1000
2013,8,Paddington,1550000,79,3450000,98,3950000,125000,59,45,995
2013,11,Paddington,1630000,105,3700000,127,7232000,850000,97,67,960
2014,2,Paddington,1800000,44,5600000,71,7232000,675000,26,24,995
2014,5,Paddington,1413000,104,5500000,132,5250000,838000,106,74,1050
2014,8,Paddington,1835000,58,4200000,87,5250000,998000,48,32,978
2014,11,Paddington,1610000,109,4800000,140,6000000,100000,108,70,1050
2015,2,Paddington,1680000,47,6000000,70,6000000,100000,37,22,1100
2015,5,Paddington,1700000,102,6500000,95,6000000,890000,72,66,1125
2015,8,Paddington,1770000,70,7500000,62,4250000,900000,51,42,1050
2015,11,Paddington,1879000,76,11850000,79,10000000,800000,68,48,1100
2016,2,Paddington,1900000,46,10000000,48,4000000,1200000,32,29,1150
2016,5,Paddington,1966000,63,11850000,63,12000000,950000,48,35,1200
2016,8,Paddington,2233000,50,7500000,69,9750000,710000,37,29,1000
2016,11,Paddington,2425000,69,5500000,71,9450000,2000,49,40,1100
2017,2,Paddington,2363000,58,5400000,54,8500000,1000000,39,26,1215
2017,5,Paddington,2493000,80,8325000,73,8500000,1350000,55,43,1150
2017,8,Paddington,2218000,46,4050000,57,8250000,950000,46,27,1200
2017,11,Paddington,2235000,54,5300000,56,8250000,1200000,39,29,1250
2018,2,Paddington,2550000,41,5150000,54,8250000,1200000,27,22,1200
2018,5,Paddington,2620000,72,7400000,80,8250000,1100000,62,41,1195
2018,8,Paddington,2325000,58,8200000,57,6500000,1100000,46,28,1173
2018,11,Paddington,2345000,57,7650000,78,15000000,1260000,66,41,1170
2019,2,Paddington,2080000,41,4925000,54,15000000,1260000,39,22,1180
2019,5,Paddington,2238000,60,7500000,65,8250000,1100000,49,29,1150
2019,8,Paddington,2050000,42,5050000,46,7700000,1100000,31,22,1100
2019,11,Paddington,2425000,77,10500000,71,7700000,800000,52,47,1100
2020,2,Paddington,2600000,39,7150000,46,7700000,1260000,26,20,1200
2020,5,Paddington,2550000,61,6300000,98,7700000,1000000,40,25,1050
2020,8,Paddington,2290000,54,6720000,75,4500000,1395000,31,21,1000
2020,11,Paddington,2550000,82,6800000,81,6500000,1350000,60,47,1050
2021,2,Paddington,2850000,59,6500000,54,5000000,1425000,31,24,1100
2021,5,Paddington,3213000,72,9000000,71,8000000,1400000,60,49,1100
2011,8,Lane Cove,965000,24,1935000,43,2730000,560000,12,7,750
2011,11,Lane Cove,1029000,34,1980000,52,2730000,590000,21,9,700
2012,2,Lane Cove,1085000,19,2200000,32,2150000,600000,10,9,650
2012,5,Lane Cove,974000,34,1650000,41,2000000,570000,22,16,895
2012,8,Lane Cove,956000,16,1585000,32,2600000,450000,10,6,820
2012,11,Lane Cove,1100000,27,2500000,42,3750000,550000,21,17,750
2013,2,Lane Cove,1088000,16,4450000,23,4000000,500000,9,4,755
2013,5,Lane Cove,1200000,31,2780000,37,2750000,500000,22,17,810
2013,8,Lane Cove,1184000,30,2653000,35,11000000,575000,20,17,730
2013,11,Lane Cove,1314000,46,2930000,49,2249000,500000,40,36,808
2014,2,Lane Cove,1126000,19,1945000,22,1790000,545000,10,10,735
2014,5,Lane Cove,1548000,36,2420000,39,2200000,405000,30,28,825
