year,month,suburb,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice
2011.0,8.0,Randwick,1422000.0,40.0,5450000.0,690000.0,1578000.0,81.0,8000000.0,775000.0,32.0,20.0,950.0
2011.0,11.0,Randwick,1417000.0,49.0,3660000.0,880000.0,1600000.0,97.0,6000000.0,700000.0,47.0,23.0,880.0
2012.0,2.0,Randwick,1520000.0,24.0,6200000.0,890000.0,1600000.0,62.0,5850000.0,570000.0,10.0,5.0,975.0
2012.0,5.0,Randwick,1555000.0,44.0,3325000.0,565000.0,1550000.0,77.0,3590000.0,570000.0,30.0,17.0,850.0
2012.0,8.0,Randwick,1385000.0,27.0,3050000.0,703000.0,1500000.0,57.0,4250000.0,650000.0,19.0,11.0,825.0
2012.0,11.0,Randwick,1384000.0,69.0,3250000.0,665000.0,1500000.0,96.0,4250000.0,790000.0,50.0,33.0,863.0
2013.0,2.0,Randwick,1525000.0,34.0,7100000.0,775000.0,1465000.0,56.0,5000000.0,550000.0,15.0,9.0,950.0
2013.0,5.0,Randwick,1515000.0,62.0,3570000.0,614000.0,1500000.0,79.0,4000000.0,590000.0,39.0,26.0,850.0
2013.0,8.0,Randwick,1575000.0,35.0,15000000.0,840000.0,1523000.0,61.0,4000000.0,356000.0,19.0,14.0,915.0
2013.0,11.0,Randwick,1570000.0,60.0,2915000.0,530000.0,1598000.0,81.0,3500000.0,356000.0,45.0,37.0,995.0
2014.0,2.0,Randwick,1590000.0,39.0,12500000.0,930000.0,1588000.0,61.0,3500000.0,720000.0,18.0,14.0,1100.0
2014.0,5.0,Randwick,1584000.0,75.0,4292000.0,523000.0,1500000.0,91.0,4239000.0,500000.0,61.0,44.0,1075.0
2014.0,8.0,Randwick,1738000.0,49.0,7900000.0,607000.0,1598000.0,60.0,3750000.0,680000.0,35.0,27.0,1075.0
2014.0,11.0,Randwick,1715000.0,55.0,4200000.0,921000.0,1680000.0,77.0,4140000.0,680000.0,48.0,37.0,980.0
2015.0,2.0,Randwick,1820000.0,24.0,3700000.0,1085000.0,2000000.0,41.0,3700000.0,680000.0,22.0,18.0,1025.0
2015.0,5.0,Randwick,2240000.0,50.0,4800000.0,1321000.0,2000000.0,50.0,3250000.0,1375000.0,44.0,34.0,1050.0
2015.0,8.0,Randwick,1950000.0,41.0,5150000.0,1300000.0,2150000.0,34.0,4000000.0,1300000.0,27.0,24.0,1100.0
2015.0,11.0,Randwick,2038000.0,45.0,6110000.0,1300000.0,2300000.0,55.0,6000000.0,1200000.0,38.0,27.0,1000.0
2016.0,2.0,Randwick,2420000.0,29.0,3928000.0,1340000.0,2125000.0,38.0,6000000.0,1250000.0,22.0,18.0,1000.0
