postcode,locality,state,long,lat
2001,SYDNEY,NSW,151.268071,-33.794883
2002,WORLD SQUARE,NSW,151.2069237,-33.8771211
2004,ALEXANDRIA MC,NSW,151.19,-33.908
2004,EASTERN SUBURBS MC,NSW,151.21,-33.9508
2006,THE UNIVERSITY OF SYDNEY,NSW,151.186507,-33.889219
2007,BROADWAY,NSW,151.19665,-33.883189
2007,ULTIMO,NSW,151.19665,-33.883189
2008,CHIPPENDALE,NSW,151.193858,-33.891146
2008,DARLINGTON,NSW,151.193858,-33.891146
2008,GOLDEN GROVE,NSW,151.193858,-33.891146
2009,DARLING ISLAND,NSW,151.193055,-33.871222
2009,PYRMONT,NSW,151.193055,-33.871222
2010,DARLINGHURST,NSW,151.212262,-33.884119
2010,SURRY HILLS,NSW,151.212262,-33.884119
2010,TAYLOR SQUARE,NSW,151.212262,-33.884119
2011,ELIZABETH BAY,NSW,151.221626,-33.873599
2011,HMAS KUTTABUL,NSW,151.221626,-33.873599
2011,KINGS CROSS,NSW,151.221626,-33.873599
2011,POTTS POINT,NSW,151.221626,-33.873599
2011,RUSHCUTTERS BAY,NSW,151.221626,-33.873599
2011,WOOLLOOMOOLOO,NSW,151.221626,-33.873599
2012,STRAWBERRY HILLS,NSW,150.931838,-33.726098
2013,STRAWBERRY HILLS,NSW,150.931838,-33.726098
2015,ALEXANDRIA,NSW,151.194825,-33.910105
2015,BEACONSFIELD,NSW,151.194825,-33.910105
2015,EVELEIGH,NSW,151.194825,-33.910105
2016,REDFERN,NSW,151.206211,-33.894912
2017,WATERLOO,NSW,151.206316,-33.903892
2017,WATERLOO DC,NSW,0,0
2017,ZETLAND,NSW,151.206316,-33.903892
2018,EASTLAKES,NSW,151.202697,-33.9233
2018,ROSEBERY,NSW,151.202697,-33.9233
2019,BANKSMEADOW,NSW,151.207285,-33.946923
2019,BOTANY,NSW,151.207285,-33.946923
2020,MASCOT,NSW,151.176775,-33.936179
2020,SYDNEY DOMESTIC AIRPORT,NSW,151.176775,-33.936179
2020,SYDNEY INTERNATIONAL AIRPORT,NSW,151.176775,-33.936179
2021,CENTENNIAL PARK,NSW,151.227236,-33.895705
2021,MOORE PARK,NSW,151.227236,-33.895705
2021,PADDINGTON,NSW,151.227236,-33.895705
2022,BONDI JUNCTION,NSW,151.245049,-33.896401
2022,BONDI JUNCTION PLAZA,NSW,151.245049,-33.896401
2022,QUEENS PARK,NSW,151.245049,-33.896401
2023,BELLEVUE HILL,NSW,151.25591,-33.884685
2024,BRONTE,NSW,151.259392,-33.904414
2024,CHARING CROSS,NSW,151.259392,-33.904414
2024,WAVERLEY,NSW,151.259392,-33.904414
2025,WOOLLAHRA,NSW,151.240508,-33.88871
2026,BEN BUCKLER,NSW,151.268968,-33.891041
2026,BONDI,NSW,151.268968,-33.891041
2026,BONDI BEACH,NSW,151.268968,-33.891041
2026,NORTH BONDI,NSW,151.268968,-33.891041
2026,TAMARAMA,NSW,151.268968,-33.891041
2027,DARLING POINT,NSW,151.250494,-33.868972
2027,EDGECLIFF,NSW,151.250494,-33.868972
2027,HMAS RUSHCUTTERS,NSW,151.250494,-33.868972
2027,POINT PIPER,NSW,151.250494,-33.868972
2028,DOUBLE BAY,NSW,151.240965,-33.878413
2029,ROSE BAY,NSW,151.266989,-33.875709
2030,DIAMOND BAY,NSW,151.275977,-33.858378
2030,DOVER HEIGHTS,NSW,151.275977,-33.858378
2030,HMAS WATSON,NSW,151.275977,-33.858378
2030,ROSE BAY NORTH,NSW,151.275977,-33.858378
2030,VAUCLUSE,NSW,151.275977,-33.858378
2030,WATSONS BAY,NSW,151.275977,-33.858378
2031,CLOVELLY,NSW,151.239167,-33.914832
2031,CLOVELLY WEST,NSW,151.239167,-33.914832
2031,RANDWICK,NSW,151.239167,-33.914832
2031,RANDWICK DC,NSW,0,0
2031,ST PAULS,NSW,151.239167,-33.914832
2032,DACEYVILLE,NSW,151.223936,-33.930314
2032,KINGSFORD,NSW,151.223936,-33.930314
2033,KENSINGTON,NSW,151.218435,-33.91139
2034,COOGEE,NSW,151.252171,-33.929096
2034,SOUTH COOGEE,NSW,151.252171,-33.929096
2035,MAROUBRA,NSW,151.241292,-33.945635
2035,MAROUBRA SOUTH,NSW,151.241292,-33.945635
2035,PAGEWOOD,NSW,151.241292,-33.945635
2036,CHIFLEY,NSW,151.237844,-33.969624
2036,EASTGARDENS,NSW,151.237844,-33.969624
