year,month,suburb,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice
2011.0,9.0,Greenridge,,,,,,,,,,,
2011.0,12.0,Greenridge,,,,,,,,,,,
2012.0,3.0,Greenridge,,,,,,,,,,,
2012.0,6.0,Greenridge,,,,,,,,,,,
2012.0,9.0,Greenridge,,,,,,,,,,,
2012.0,12.0,Greenridge,,,,,,,,,,,
2013.0,3.0,Greenridge,,,,,,,,,,,
2013.0,6.0,Greenridge,,,,,,,,,,,
2013.0,9.0,Greenridge,,,,,,1.0,434000.0,434000.0,,,
2013.0,12.0,Greenridge,,,,,,1.0,434000.0,434000.0,,,
2014.0,3.0,Greenridge,,,,,,1.0,434000.0,434000.0,,,
2014.0,6.0,Greenridge,,,,,,1.0,434000.0,434000.0,,,
2014.0,9.0,Greenridge,,,,,,1.0,434000.0,434000.0,,,
2014.0,12.0,Greenridge,,,,,,1.0,434000.0,434000.0,,,
2015.0,3.0,Greenridge,,,,,,1.0,434000.0,434000.0,,,
2015.0,6.0,Greenridge,,,,,,1.0,434000.0,434000.0,,,
2015.0,9.0,Greenridge,,,,,,1.0,434000.0,434000.0,,,
2015.0,12.0,Greenridge,,,,,,,,,,,
2016.0,3.0,Greenridge,,,,,,,,,,,
2016.0,6.0,Greenridge,,,,,,,,,,,
2016.0,9.0,Greenridge,,,,,,,,,,,
2016.0,12.0,Greenridge,,,,,,,,,,,
2017.0,3.0,Greenridge,,,,,,,,,,,
2017.0,6.0,Greenridge,,,,,,,,,,,
2017.0,9.0,Greenridge,,1.0,380000.0,380000.0,,,,,,,
2017.0,12.0,Greenridge,,,,,,,,,,,
2018.0,3.0,Greenridge,,,,,,,,,,,
2018.0,6.0,Greenridge,,,,,,,,,,,
2018.0,9.0,Greenridge,,,,,,,,,,,
2018.0,12.0,Greenridge,,,,,,,,,,,
2019.0,3.0,Greenridge,,,,,,,,,,,
2019.0,6.0,Greenridge,,,,,,,,,,,
2019.0,9.0,Greenridge,,,,,,,,,,,
2019.0,12.0,Greenridge,,,,,,,,,,,
2020.0,3.0,Greenridge,,,,,,,,,,,
2020.0,6.0,Greenridge,,,,,,,,,,,
2020.0,9.0,Greenridge,,,,,,,,,,,
2020.0,12.0,Greenridge,,,,,,,,,,,
2021.0,3.0,Greenridge,,,,,,,,,,,
2021.0,6.0,Greenridge,,,,,,,,,,,
2011.0,9.0,Cunjurong Point,,1.0,410000.0,410000.0,,9.0,540000.0,229000.0,,,
2011.0,12.0,Cunjurong Point,,2.0,450000.0,242000.0,,6.0,470000.0,229000.0,,,
2012.0,3.0,Cunjurong Point,,1.0,420000.0,420000.0,,6.0,470000.0,229000.0,,,
2012.0,6.0,Cunjurong Point,,1.0,205000.0,205000.0,,6.0,470000.0,229000.0,,,
2012.0,9.0,Cunjurong Point,,,,,,4.0,470000.0,420000.0,,,
2012.0,12.0,Cunjurong Point,,,,,,5.0,469000.0,380000.0,,,
2013.0,3.0,Cunjurong Point,,1.0,380000.0,380000.0,,5.0,469000.0,380000.0,,,
2013.0,6.0,Cunjurong Point,,,,,,5.0,550000.0,397000.0,,,
2013.0,9.0,Cunjurong Point,,1.0,345000.0,345000.0,,6.0,600000.0,369000.0,,,
2013.0,12.0,Cunjurong Point,,2.0,410000.0,207000.0,,5.0,450000.0,215000.0,,,
2014.0,3.0,Cunjurong Point,,2.0,340000.0,215000.0,,7.0,540000.0,215000.0,,,
2014.0,6.0,Cunjurong Point,,3.0,640000.0,428000.0,,6.0,650000.0,395000.0,,,
2014.0,9.0,Cunjurong Point,,,,,,4.0,530000.0,390000.0,,,
2014.0,12.0,Cunjurong Point,,1.0,380000.0,380000.0,,5.0,539000.0,390000.0,,,
2015.0,3.0,Cunjurong Point,,1.0,385000.0,385000.0,,4.0,539000.0,399000.0,,,
2015.0,6.0,Cunjurong Point,,1.0,433000.0,433000.0,,5.0,570000.0,420000.0,,,
2015.0,9.0,Cunjurong Point,,4.0,510000.0,400000.0,,5.0,539000.0,420000.0,,,
2015.0,12.0,Cunjurong Point,,,,,,2.0,490000.0,490000.0,,,
2016.0,3.0,Cunjurong Point,,3.0,630000.0,420000.0,,3.0,600000.0,460000.0,,,
2016.0,6.0,Cunjurong Point,,3.0,630000.0,440000.0,,2.0,600000.0,460000.0,,,
2016.0,9.0,Cunjurong Point,,,,,,1.0,490000.0,490000.0,,,
2016.0,12.0,Cunjurong Point,,1.0,400000.0,400000.0,,,,,,,900.0
2017.0,3.0,Cunjurong Point,,,,,,1.0,685000.0,685000.0,,,950.0
2017.0,6.0,Cunjurong Point,,1.0,675000.0,675000.0,,1.0,685000.0,685000.0,,,1200.0
2017.0,9.0,Cunjurong Point,,,,,,,,,,,1230.0
2017.0,12.0,Cunjurong Point,,2.0,655000.0,500000.0,,,,,,,1260.0
