year,month,suburb,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice
2011.0,9.0,Huntingwood,,,,,,,,,,,
2011.0,12.0,Huntingwood,,,,,,,,,,,
2012.0,3.0,Huntingwood,,,,,,,,,,,
2012.0,6.0,Huntingwood,,,,,,1.0,,,,,
2012.0,9.0,Huntingwood,,,,,,1.0,5500000.0,5500000.0,1.0,,
2012.0,12.0,Huntingwood,,,,,,,,,,,
2013.0,3.0,Huntingwood,,,,,,,,,,,
2013.0,6.0,Huntingwood,,,,,,,,,,,
2013.0,9.0,Huntingwood,,,,,,,,,,,
2013.0,12.0,Huntingwood,,,,,,,,,,,
2014.0,3.0,Huntingwood,,,,,,,,,,,
2014.0,6.0,Huntingwood,,,,,,,,,,,
2014.0,9.0,Huntingwood,,,,,,,,,,,
2014.0,12.0,Huntingwood,,,,,,,,,,,
2015.0,3.0,Huntingwood,,,,,,,,,,,
2015.0,6.0,Huntingwood,,,,,,,,,,,
2015.0,9.0,Huntingwood,,,,,,,,,,,
2015.0,12.0,Huntingwood,,,,,,,,,,,
2016.0,3.0,Huntingwood,,,,,,,,,,,
2016.0,6.0,Huntingwood,,,,,,,,,,,
2016.0,9.0,Huntingwood,,,,,,,,,,,
2016.0,12.0,Huntingwood,,,,,,,,,,,
2017.0,3.0,Huntingwood,,,,,,,,,,,
2017.0,6.0,Huntingwood,,,,,,,,,,,
2017.0,9.0,Huntingwood,,,,,,,,,,,
2017.0,12.0,Huntingwood,,,,,,,,,,,
2018.0,3.0,Huntingwood,,,,,,,,,,,
2018.0,6.0,Huntingwood,,,,,,,,,,,
2018.0,9.0,Huntingwood,,,,,,,,,,,
2018.0,12.0,Huntingwood,,,,,,,,,,,
2019.0,3.0,Huntingwood,,,,,,,,,,,
2019.0,6.0,Huntingwood,,,,,,,,,,,
2019.0,9.0,Huntingwood,,,,,,,,,,,
2019.0,12.0,Huntingwood,,,,,,,,,,,
2020.0,3.0,Huntingwood,,,,,,,,,,,
2020.0,6.0,Huntingwood,,,,,,,,,,,
2020.0,9.0,Huntingwood,,,,,,,,,,,
2020.0,12.0,Huntingwood,,,,,,,,,,,
2021.0,3.0,Huntingwood,,,,,,,,,,,
2021.0,6.0,Huntingwood,,,,,,,,,,,
2011.0,9.0,Bungonia,,,,,,,,,,,
