year,month,suburb,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice
2011.0,9.0,Hydes Creek,,,,,,,,,,,
2011.0,12.0,Hydes Creek,,,,,,,,,,,
2012.0,3.0,Hydes Creek,,,,,,,,,,,
2012.0,6.0,Hydes Creek,,,,,,,,,,,
2012.0,9.0,Hydes Creek,,,,,,,,,,,
2012.0,12.0,Hydes Creek,,,,,,,,,,,
2013.0,3.0,Hydes Creek,,,,,,,,,,,
2013.0,6.0,Hydes Creek,,,,,,,,,,,
2013.0,9.0,Hydes Creek,,,,,,,,,,,
2013.0,12.0,Hydes Creek,,,,,,,,,,,
2014.0,3.0,Hydes Creek,,1.0,630000.0,630000.0,,,,,,,
2014.0,6.0,Hydes Creek,,,,,,,,,,,
2014.0,9.0,Hydes Creek,,,,,,,,,,,
2014.0,12.0,Hydes Creek,,,,,,,,,,,
2015.0,3.0,Hydes Creek,,,,,,,,,,,
2015.0,6.0,Hydes Creek,,,,,,,,,,,
2015.0,9.0,Hydes Creek,,,,,,,,,,,
2015.0,12.0,Hydes Creek,,,,,,,,,,,
2016.0,3.0,Hydes Creek,,,,,,,,,,,
2016.0,6.0,Hydes Creek,,,,,,,,,,,
2016.0,9.0,Hydes Creek,,,,,,,,,,,
2016.0,12.0,Hydes Creek,,,,,,,,,,,
2017.0,3.0,Hydes Creek,,,,,,,,,,,
2017.0,6.0,Hydes Creek,,,,,,,,,,,
2017.0,9.0,Hydes Creek,,,,,,,,,,,
2017.0,12.0,Hydes Creek,,,,,,1.0,1749000.0,1749000.0,,,
2018.0,3.0,Hydes Creek,,,,,,2.0,1749000.0,860000.0,,,
2018.0,6.0,Hydes Creek,,,,,,2.0,1750000.0,790000.0,,,
2018.0,9.0,Hydes Creek,,1.0,760000.0,760000.0,,2.0,1780000.0,750000.0,,,
2018.0,12.0,Hydes Creek,,,,,,1.0,1780000.0,1780000.0,,,
2019.0,3.0,Hydes Creek,,,,,,1.0,1795000.0,1795000.0,,,
2019.0,6.0,Hydes Creek,,,,,,1.0,1795000.0,1795000.0,,,
2019.0,9.0,Hydes Creek,,,,,,1.0,1695000.0,1695000.0,,,
